timestamp,rtt,jitter
6167921727708,0.613708,0.613708
6167922675945,0.644411,0.030703
6167923589925,0.5141,0.130311
6167924559273,0.497118,0.016982
6167925507936,0.453545,0.043573
6167926439749,0.396825,0.05672
6167927403041,0.360732,0.036093
6167928713475,0.602783,0.242051
6167929595029,0.547044,0.055739
6167930695522,0.560321,0.013277
6167931471671,0.412583,0.147738
6167932619608,0.570321,0.157738
6167933448570,0.403731,0.16659
6167935425470,1.35025,0.946516
6167935778832,0.754686,0.595561
6167936969397,0.792741,0.038055
6167937693048,0.471804,0.320937
6167938449956,0.401157,0.070647
6167939424379,0.379881,0.021276
6167940511057,0.394694,0.014813
6167941802602,0.727706,0.333012
6167942497475,0.460989,0.266717
6167943625264,0.546691,0.085702
6167944509411,0.45149,0.095201
6167945459130,0.399065,0.052425
6167946453329,0.404564,0.005499
6167947435585,0.390362,0.014202
6167948927717,0.8055,0.415138
6167949712940,0.537302,0.268198
6167950584865,0.535395,0.001907
6167951440234,0.396898,0.138497
6167952409564,0.362047,0.034851
6167953389986,0.349807,0.01224
6167954370038,0.32977,0.020037
6167955686175,0.58495,0.25518
6167956603802,0.553951,0.030999
6167957513448,0.463193,0.090758
6167958369243,0.333696,0.129497
6167959332499,0.300438,0.033258
6167960350698,0.311252,0.010814
6167961519764,0.455694,0.144442
6167962743440,0.697688,0.241994
6167963386332,0.347158,0.35053
6167964359514,0.320085,0.027073
6167965403157,0.369788,0.049703
6167966343302,0.309882,0.059906
6167967604958,0.539709,0.229827
6167968765765,0.70928,0.169571
6167969427806,0.435583,0.273697
6167970407635,0.365491,0.070092
6167971408298,0.366529,0.001038
6167972394164,0.346159,0.02037
6167973582970,0.524654,0.178495
6167974582336,0.533506,0.008852
6167975513963,0.469915,0.063591
6167976534681,0.440953,0.028962
6167977432938,0.391843,0.04911
6167978405212,0.362862,0.028981
6167982340493,3.27776,2.9149
6167982977312,2.82821,0.449545
6167983330748,1.78664,1.04157
6167983543873,1.49204,0.294604
6167983699406,0.524302,0.967738
6167984443297,0.389862,0.13444
6167985408497,0.363103,0.026759
6167986482936,0.375288,0.012185
6167987412562,0.369084,0.006204
6167988741180,0.661096,0.292012
6167989588717,0.606672,0.054424
6167990736653,0.658244,0.051572
6167992484651,1.31554,0.657301
6167993232596,0.955348,0.360197
6167995500304,2.47402,1.51867
6167996503503,1.2319,1.24212
6167997142841,1.06777,0.164125
6167997459556,0.459768,0.608004
6167998448366,0.40699,0.052778
6167999438344,0.393473,0.013517
6168000410414,0.363936,0.029537
6168001762846,0.683965,0.320029
6168002568995,0.541692,0.142273
6168003575324,0.505007,0.036685
6168004442563,0.390991,0.114016
6168005395430,0.35514,0.035851
6168006426648,0.387232,0.032092
6168007379459,0.339492,0.04774
6168008675726,0.589783,0.250291
6168009442523,0.409194,0.180589
6168010484314,0.433082,0.023888
6168011360368,0.324548,0.108534
6168012345216,0.307419,0.017129
6168013330249,0.298308,0.009111
6168014542889,0.469249,0.170941
6168015661974,0.618282,0.149033
6168016472530,0.43375,0.184532
