timestamp,rtt,jitter
5136177921207,1.42985,1.42985
5136178157036,0.661192,0.768654
5136179754397,1.28859,0.627397
5136180725380,1.1028,0.185793
5136180975116,0.497787,0.605009
5136181881341,0.41577,0.082017
5136182870472,0.401789,0.013981
5136184211597,0.727117,0.325328
5136185586369,1.16233,0.435215
5136186058638,0.658488,0.503844
5136186810496,0.343346,0.315142
5136187907365,0.41764,0.074294
5136188810183,0.349272,0.068368
5136190005458,0.522916,0.173644
5136191580968,1.1067,0.583787
5136191871333,0.45127,0.655433
5136192809224,0.342253,0.109017
5136193823781,0.35755,0.015297
5136194788078,0.320846,0.036704
5136195781431,0.315013,0.005833
5136197119353,0.639674,0.324661
5136199944377,2.11196,1.47229
5136200255501,1.29094,0.821023
5136200515071,1.03433,0.256606
5136201257114,0.857411,0.176923
5136201801623,0.329272,0.528139
5136202762309,0.29905,0.030222
5136203943048,0.455418,0.156368
5136205169119,0.692469,0.237051
5136205823886,0.354698,0.337771
5136206871608,0.404511,0.049813
5136207785944,0.320087,0.084424
5136208804926,0.34479,0.024703
5136210022386,0.532824,0.188034
5136211260902,0.781876,0.249052
5136211875928,0.411826,0.37005
5136212814597,0.351179,0.060647
5136213775561,0.309587,0.041592
5136214865339,0.394901,0.085314
5136216127798,0.635692,0.240791
5136217248186,0.777635,0.141943
5136217884953,0.409567,0.368068
5136218792103,0.329531,0.080036
5136219810215,0.348383,0.018852
5136220803309,0.341142,0.007241
5136222009918,0.506529,0.165387
5136223199212,0.719932,0.213403
5136223824071,0.409752,0.31018
5136224819461,0.353753,0.055999
5136225774574,0.310772,0.042981
5136226776723,0.313883,0.003111
5136227745632,0.281236,0.032647
5136229207514,0.475751,0.194515
5136229751801,0.352957,0.122794
5136230882429,0.418326,0.065369
5136231844060,0.372141,0.046185
5136232806673,0.341253,0.030888
5136233762231,0.296014,0.045239
5136234770991,0.305902,0.009888
5136236059616,0.553657,0.247755
5136237731865,0.510417,0.04324
5136237971398,0.533102,0.022685
5136238907863,0.441733,0.091369
5136239821588,0.354327,0.087406
5136240955994,0.452992,0.098665
5136242358247,0.871151,0.418159
5136243243102,0.690377,0.180774
5136243868721,0.408438,0.281939
5136244791538,0.33055,0.077888
5136245757503,0.297032,0.033518
5136246749541,0.28781,0.009222
5136247843244,0.366383,0.078573
5136249183813,0.705265,0.338882
5136250036743,0.570898,0.134367
5136250883672,0.417252,0.153646
5136252890545,1.42614,1.00889
5136253691086,1.01202,0.414123
5136253960878,0.468011,0.544008
5136255357538,0.840374,0.372363
5136256616405,0.855337,0.014963
5136257244524,0.756802,0.098535
5136257880624,0.432918,0.323884
5136258863310,0.385734,0.047184
5136259855071,0.377901,0.007833
5136261143715,0.634674,0.256773
5136262413730,0.995149,0.360475
5136263174439,0.499454,0.495695
5136264601099,1.11529,0.615841
5136264964130,0.522861,0.592434
5136265945983,0.45814,0.064721
5136268254924,1.77162,1.31348
5136269221592,1.22494,0.546676
5136269585975,1.07793,0.147015
5136270038467,0.596934,0.480992
5136270793380,0.325198,0.271736
5136271792196,0.326809,0.001611
5136272841288,0.366141,0.039332
5136274062860,0.56762,0.201479
5136275231839,0.758949,0.191329
5136276034566,0.521991,0.236958
5136276827867,0.364327,0.157664
5136277793461,0.327309,0.037018
5136278773240,0.310642,0.016667
5136280121550,0.61823,0.307588
5136281229512,0.756061,0.137831
5136281912260,0.44403,0.312031
5136282889779,0.420622,0.023408
5136283806893,0.33979,0.080832
5136284816283,0.351735,0.011945
5136286007392,0.506566,0.154831
5136286894432,0.415623,0.090943
5136287888414,0.417066,0.001443
5136288795936,0.387123,0.029943
5136289774270,0.310957,0.076166
5136290769068,0.307976,0.002981
5136291776013,0.314754,0.006778
5136293102768,0.582731,0.267977
5136294211859,0.747283,0.164552
5136295345562,0.502084,0.245199
5136295929385,0.385993,0.116091
5136296849258,0.383253,0.00274
5136297793982,0.331013,0.05224
5136299049460,0.563509,0.232496
5136300252198,0.779042,0.215533
5136300931075,0.421659,0.357383
5136301796968,0.333569,0.08809
5136302823746,0.359086,0.025517
5136303824765,0.361752,0.002666
5136305151187,0.669729,0.307977
5136306268315,0.796134,0.126405
5136307004654,0.478251,0.317883
5136307852788,0.377272,0.100979
5136308884084,0.415863,0.038591
5136309844994,0.376864,0.038999
5136311179785,0.691395,0.314531
5136312337191,0.952206,0.260811
5136313110714,0.521083,0.431123
5136313858572,0.38942,0.131663
5136316105625,1.63123,1.24181
5136316743077,1.22453,0.406697
5136317828854,1.43616,0.211626
5136318192144,0.688136,0.748024
5136318802633,0.33629,0.351846
5136319803486,0.342623,0.006333
5136320864653,0.399049,0.056426
5136322091854,0.613323,0.214274
5136322930746,0.457047,0.156276
5136323935692,0.463085,0.006038
5136324835213,0.372567,0.090518
5136325813363,0.352883,0.019684
5136326852159,0.385845,0.032962
5136328272746,0.786653,0.400808
5136329642777,1.15502,0.368364
5136329990530,0.485084,0.669933
5136330856349,0.377975,0.107109
5136331848868,0.375845,0.00213
5136332829092,0.360901,0.014944
5136334078681,0.573249,0.212348
5136334962907,0.486381,0.086868
5136335968389,0.483121,0.00326
5136336884169,0.416455,0.066666
5136337812042,0.344883,0.071572
5136338822969,0.354624,0.009741
5136340092095,0.599471,0.244847
5136341156261,0.684099,0.084628
5136341847749,0.449881,0.234218
5136342845010,0.374272,0.075609
5136343822826,0.353346,0.020926
5136344825827,0.363586,0.01024
5136346068916,0.673284,0.309698
5136346999381,0.521194,0.15209
5136348104047,0.621026,0.099832
5136348806720,0.345401,0.275625
5136349768000,0.306125,0.039276
5136350744649,0.285495,0.02063
5136351743724,0.286976,0.001481
5136353024276,0.513528,0.226552
5136353829392,0.365494,0.148034
5136354913354,0.426974,0.06148
5136355793080,0.330828,0.096146
5136356804377,0.348828,0.018
5136357821266,0.357308,0.00848
5136359066208,0.561509,0.204201
5136359986580,0.505917,0.055592
5136361061284,0.576583,0.070666
5136361827530,0.360013,0.21657
5136362797328,0.330939,0.029074
5136363844383,0.374956,0.044017
5136365213952,0.733839,0.358883
5136365917514,0.492714,0.241125
5136366923700,0.490917,0.001797
5136367842999,0.374161,0.116756
5136368824648,0.363975,0.010186
5136369776261,0.31655,0.047425
5136370763170,0.302162,0.014388
5136371982760,0.49551,0.193348
5136373071315,0.602156,0.106646
5136373897430,0.430085,0.172071
5136375812730,1.31687,0.886781
5136376156946,0.650304,0.666562
5136376866952,0.397363,0.252941
5136378065820,0.624267,0.226904
5136378874695,0.403901,0.220366
5136379960768,0.465473,0.061572
5136380870697,0.404771,0.060702
5136382883588,1.31533,0.910558
5136383199378,0.712876,0.602453
5136384684834,1.20265,0.48977
5136385349378,0.813819,0.388827
5136385911924,0.375679,0.43814
5136386816408,0.347309,0.02837
5136387864834,0.389882,0.042573
5136389216810,0.730154,0.340272
5136390095202,0.65934,0.070814
5136391002316,0.50675,0.15259
5136391857875,0.39053,0.11622
5136392814951,0.355068,0.035462
5136393771231,0.30968,0.045388
5136394763250,0.303476,0.006204
5136396056024,0.541953,0.238477
5136397047007,0.571083,0.02913
5136397872363,0.408012,0.163071
5136398786569,0.327087,0.080925
5136399771163,0.312143,0.014944
5136400787627,0.329161,0.017018
5136401764572,0.305383,0.023778
5136403004403,0.523954,0.218571
5136404130142,0.660303,0.136349
5136404894573,0.429455,0.230848
5136405793632,0.329995,0.09946
5136406802521,0.337253,0.007258
5136407774301,0.311273,0.02598
5136408796950,0.33542,0.024147
5136410011632,0.510065,0.174645
5136410906579,0.435955,0.07411
5136411875488,0.40527,0.030685
5136412813657,0.35466,0.05061
5136413792770,0.330606,0.024054
5136414780327,0.321106,0.0095
5136415765809,0.308791,0.012315
5136417075805,0.547509,0.238718
5136417947642,0.482011,0.065498
5136418890236,0.423307,0.058704
5136419771536,0.312106,0.111201
5136420796592,0.338161,0.026055
5136421745742,0.285643,0.052518
5136422732188,0.271829,0.013814
5136424031294,0.526675,0.254846
5136424904224,0.441974,0.084701
5136425900280,0.431548,0.010426
5136426803098,0.340346,0.091202
5136427780266,0.317883,0.022463
5136428893580,0.416511,0.098628
5136430008709,0.523991,0.10748
5136430862231,0.384938,0.139053
5136431998063,0.488825,0.103887
5136432816956,0.355679,0.133146
5136433796124,0.334272,0.021407
5136435304449,0.643803,0.309531
5136436153009,0.604286,0.039517
5136436910810,0.503491,0.100795
5136438204121,0.731117,0.227626
5136438785796,0.378401,0.352716
5136439808574,0.347179,0.031222
5136440774761,0.316531,0.030648
5136441789003,0.32855,0.012019
5136442986630,0.509547,0.180997
5136444099907,0.626156,0.116609
5136444931670,0.463029,0.163127
5136445800173,0.337883,0.125146
5136446818267,0.355772,0.017889
5136448030968,0.570176,0.214404
5136449314390,0.468381,0.101795
5136450075173,0.557676,0.089295
5136451121932,0.640803,0.083127
5136452663202,1.27198,0.631175
