timestamp,rtt,jitter
6237534278129,2.00231,2.00231
6237535314625,2.65442,0.652115
6237536179883,2.32686,0.327567
6237537069901,2.28556,0.041295
6237537740015,2.06729,0.218274
6237538357854,1.68661,0.380676
6237539096430,1.47715,0.209458
6237540388123,1.72618,0.249031
6237542058698,2.3351,0.608913
6237543481055,2.41756,0.082461
6237544416571,2.72001,0.302456
6237545227350,2.55915,0.160867
6237546472655,2.60146,0.042314
6237547967456,3.19404,0.59258
6237549409294,3.55631,0.362269
6237552154511,5.07085,1.51454
6237554010063,6.19573,1.12488
6237555703970,6.89626,0.700521
6237556225162,5.94694,0.949312
6237556500471,5.5684,0.378547
6237556800982,4.85156,0.716837
6237557026237,4.12484,0.726724
6237557992086,4.38403,0.259198
6237560301757,4.73741,0.353381
6237560954890,4.85222,0.114811
6237561289309,4.59457,0.25766
6237562380600,4.61238,0.017815
6237562837886,3.70464,0.90774
6237563074695,2.91616,0.788483
6237563837160,3.05286,0.136701
6237567265047,5.01359,1.96074
6237568746348,6.01901,1.00542
6237571746522,8.1156,2.09658
6237573411559,8.22176,0.106164
6237574209893,5.79624,2.42552
6237574947785,3.41368,2.38256
6237575749415,2.48422,0.929461
6237576791503,2.70248,0.218254
6237577596096,2.76325,0.060776
6237578091622,2.46274,0.300512
6237580790174,4.19656,1.73382
6237581296922,3.49087,0.705689
6237582527654,2.71159,0.779279
6237583969177,2.87544,0.163848
6237585148762,2.92977,0.054332
6237585984022,2.30667,0.623097
6237586561953,1.63319,0.673485
6237586843743,1.00779,0.625394
6237587389694,0.682929,0.324863
6237592969163,0.827185,0.144256
6237593577576,0.735502,0.091683
6237594229487,0.513655,0.221847
6237595147967,0.485656,0.027999
6237596163204,0.503637,0.017981
6237597171237,0.507896,0.004259
6237598172419,0.576043,0.068147
6237599476408,0.801519,0.225476
6237600440368,0.772871,0.028648
6237601474660,0.795538,0.022667
6237602399455,0.724632,0.070906
6237603278213,0.69254,0.032092
6237605021526,1.29753,0.604986
6237606140446,1.37065,0.073129
6237607351660,1.4358,0.065147
6237607979035,0.808723,0.627079
6237609336801,1.47402,0.6653
6237609532593,0.857573,0.61645
6237610129543,0.500785,0.356788
6237611099244,0.444083,0.056702
6237612106925,0.450064,0.005981
6237613507839,0.827315,0.377251
6237614531501,0.747798,0.079517
6237616621862,1.81111,1.06331
6237618215531,1.9107,0.099591
6237619923808,2.0246,0.113905
6237621477884,2.37828,0.353676
6237622506343,2.13975,0.238531
6237628806685,6.99903,4.85928
6237629915161,7.10849,0.109461
6237631205021,2.09753,5.01096
6237632168851,1.96609,0.131442
6237633039369,1.54258,0.423509
6237634106623,1.68233,0.139756
6237635425316,2.16958,0.487248
6237636880488,2.4595,0.28992
6237638064573,2.28913,0.170366
6237639066051,1.80263,0.486508
6237639868514,1.533,0.269624
6237640697978,1.35701,0.175996
6237641748991,1.68596,0.328955
6237642753117,1.76079,0.074832
6237643765762,1.72807,0.032721
6237644713018,1.68041,0.047666
6237645894844,1.82313,0.142719
6237646617532,1.61367,0.209458
6237647301017,1.16455,0.449119
6237647519401,0.750965,0.413584
6237648107554,0.491452,0.259513
6237649551633,0.873202,0.38175
6237650859067,1.02503,0.15183
6237651790399,1.13314,0.10811
6237652475606,0.840519,0.292623
6237653210219,0.554654,0.285865
6237654847053,1.17283,0.618172
6237656156969,1.54213,0.369307
6237657118040,1.24006,0.302068
6237657838024,0.89335,0.346715
6237658387345,0.68254,0.21081
6237659135014,0.478064,0.204476
6237660160584,0.504248,0.026184
6237661173450,0.514396,0.010148
6237662423460,0.750354,0.235958
6237663869798,0.986386,0.236032
6237664577356,0.938571,0.047815
6237665254416,0.537748,0.400823
6237666191913,0.532377,0.005371
6237667147985,0.488545,0.043832
6237668221165,0.56184,0.073295
6237669436842,0.764484,0.202644
6237670253212,0.632745,0.131739
6237671353040,0.685003,0.052258
6237672295445,0.633856,0.051147
6237673555510,0.825723,0.191867
6237674532025,0.746761,0.078962
6237675437061,0.638431,0.10833
6237676181081,0.542192,0.096239
6237677332019,0.659356,0.117164
6237678205166,0.545266,0.11409
6237679169385,0.513062,0.032204
