timestamp,rtt,jitter
5369826981965,0.816671,0.816671
5369827745655,0.572138,0.244533
5369828547808,0.496491,0.075647
5369836162733,4.0496,3.55311
5369836363304,3.20691,0.842689
5369836501338,0.436899,2.77001
5369837590449,0.454066,0.017167
5369838562210,0.432955,0.021111
5369844666661,0.593341,0.160386
5369848807923,0.715709,0.122368
5369850576486,1.44074,0.725026
5369850781556,0.632044,0.808691
5369852953630,1.81784,1.18579
5369853986390,1.84893,0.031092
5369854281811,1.10413,0.744802
5369854663323,0.491195,0.612934
5369855560548,0.430381,0.060814
5369856562957,0.438363,0.007982
5369858563071,1.41474,0.976372
5369858791067,0.647248,0.767487
5369859738791,0.599267,0.047981
5369860551426,0.427808,0.171459
5369861538760,0.409604,0.018204
5369862537558,0.406956,0.002648
5369863553781,0.425214,0.018258
5369864578449,0.411604,0.01361
5369866065164,0.914521,0.502917
5369867483140,1.22922,0.314699
5369867736617,0.576083,0.653137
5369868616157,0.486565,0.089518
5369869651418,0.513381,0.026816
5369870653104,0.522713,0.009332
5369871604921,0.477788,0.044925
5369872934343,0.794931,0.317143
5369873799939,0.662192,0.132739
5369879742078,0.852949,0.190757
5369879981759,0.932114,0.079165
5369881027463,0.889744,0.04237
5369881790080,0.573935,0.315809
5369882636639,0.503343,0.070592
5369883634326,0.505529,0.002186
5369884714937,0.588379,0.08285
5369885649143,0.517695,0.070684
5369887082285,0.939336,0.421641
5369888280672,0.987039,0.047703
5369888952031,0.824653,0.162386
5369889613408,0.509361,0.315292
5369891720502,0.502029,0.007332
5369892636171,0.512176,0.010147
5369893974518,0.772764,0.260588
5369894777005,0.601823,0.170941
5369901005398,0.920447,0.318624
5369903343635,2.041,1.12056
5369904084975,1.17524,0.865762
5369904784611,1.23644,0.061202
5369905714354,1.4114,0.17496
5369905890925,0.670433,0.740969
5369906631412,0.502065,0.168368
5369907640173,0.513177,0.011112
5369908956502,0.811412,0.298235
5369909793636,0.629675,0.181737
5369913368426,0.785542,0.155867
5369913995230,0.785894,0.000352
5369914867271,0.721358,0.064536
5369915700349,0.624563,0.096795
5369916850792,0.716006,0.091443
5369917704037,0.654618,0.061388
5369924798730,0.725469,0.070851
5369925667011,0.532472,0.192997
5369926627014,0.499659,0.032813
5369927653255,0.526176,0.026517
5369928659127,0.537528,0.011352
5369929645054,0.516787,0.020741
5369930626723,0.501658,0.015129
5369932102771,0.94402,0.442362
5369933429582,1.06841,0.124388
5369934185087,0.885392,0.183016
5369934716856,0.658081,0.227311
5369939349591,1.37044,0.712358
5369940147967,1.24566,0.124775
5369940927231,1.37033,0.124664
5369941535350,1.13331,0.237014
5369941706014,0.616527,0.516787
5369942633035,0.501695,0.114832
5369943601055,0.473917,0.027778
5369944617834,0.497084,0.023167
5369945903701,0.746543,0.249459
5369946705595,0.609842,0.136701
5369947752114,0.620378,0.010536
5369948674154,0.550324,0.070054
5369949648674,0.517954,0.03237
5369950630509,0.503103,0.014851
5369951726397,0.601248,0.098145
5369953015783,0.882318,0.28107
5369953818936,0.598027,0.284291
5369954757382,0.669173,0.071146
5369960869852,0.807783,0.13861
5369961781225,0.669026,0.138757
5369962650025,0.516862,0.152164
5369963681007,0.553027,0.036165
5369964652046,0.529491,0.023536
5369965609807,0.479695,0.049796
5369966624919,0.499658,0.019963
5369968307613,1.15633,0.656674
5369969766329,1.69417,0.537843
5369970723331,1.18146,0.512713
5369971607741,1.042,0.139462
5369972424968,0.965206,0.076794
