timestamp,rtt,jitter
5743134954036,0.326828,0.326828
5743136132998,0.497288,0.17046
5743136989131,0.360197,0.137091
5743137942541,0.323013,0.037184
5743138932098,0.314365,0.008648
5743140223780,0.602841,0.288476
5743142253505,0.606027,0.003186
5743143415652,0.792634,0.186607
5743144313970,0.607008,0.185626
5743145020996,0.454622,0.152386
5743147255143,1.59518,1.14055
5743148051000,1.30807,0.287106
5743148398068,0.82793,0.480141
5743149183092,0.566694,0.261236
5743150035226,0.408734,0.15796
5743151027820,0.403326,0.005408
5743151985674,0.36079,0.042536
5743153583314,0.947466,0.586676
5743154220396,0.412901,0.534565
5743154962087,0.345013,0.067888
5743155918460,0.303588,0.041425
5743156906850,0.295921,0.007667
5743157878704,0.266273,0.029648
5743158880150,0.268236,0.001963
5743160295701,0.635342,0.367106
5743161281869,0.730914,0.095572
5743162076115,0.517639,0.213275
5743162937545,0.319291,0.198348
5743163902936,0.278347,0.040944
5743164888179,0.280736,0.002389
5743165852996,0.245163,0.035573
5743167052494,0.400993,0.15583
5743168137105,0.503399,0.102406
5743168919925,0.308643,0.194756
5743169878391,0.268366,0.040277
5743170850485,0.24431,0.024056
5743171893301,0.275718,0.031408
5743173061763,0.428512,0.152794
5743174124078,0.502454,0.073942
5743175004860,0.387735,0.114719
5743175921270,0.305254,0.082481
5743176917309,0.306199,0.000945
5743177877533,0.263588,0.042611
5743179088031,0.42553,0.161942
5743180356714,0.741562,0.316032
5743180894186,0.335865,0.405697
5743181971020,0.35655,0.020685
5743182877190,0.268681,0.087869
5743183917913,0.303088,0.034407
5743185163336,0.524676,0.221588
5743186437963,0.811227,0.286551
5743187108914,0.422215,0.389012
5743187953419,0.331273,0.090942
5743189057659,0.429604,0.098331
5743189955718,0.333809,0.095795
5743191192253,0.552546,0.218737
5743192467750,0.844745,0.292199
5743193263755,0.515269,0.329476
5743193980558,0.355235,0.160034
5743195045354,0.434122,0.078887
5743195915617,0.302031,0.132091
5743197089857,0.453715,0.151684
5743198316762,0.689729,0.236014
5743199021343,0.422308,0.267421
5743199922476,0.306847,0.115461
5743200947347,0.334309,0.027462
5743201970108,0.357531,0.023222
5743203544896,0.868393,0.510862
5743204438140,0.627878,0.240515
5743205384161,0.69497,0.067092
5743206021688,0.409716,0.285254
